Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Nowhere To Run	Martha Reeves & The Vandellas	Edward Holland Jr./Lamont Dozier/Brian Holland	Motown 50 [Disc 1]		R&B	5869437	177	1	3	9	24	1965	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			3	09/05/2013 22:41				B:\Music\Nowhere To Run.m4a
Jimmy Mack	Martha Reeves & The Vandellas	Brian Holland/Lamont Dozier/Edward Holland Jr.	Motown 50 [Disc 1]		R&B	5686017	174	1	3	10	24	1967	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			2	15/12/2012 12:07	1	07/05/2013 14:14		B:\Music\Jimmy Mack.m4a
It Takes Two	Marvin Gaye	William Mickey Stevenson/Sylvia Moy	Motown 50 [Disc 1]		R&B	6051197	176	1	3	14	24	1966	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			4	15/12/2012 12:04	4	21/04/2013 12:02		B:\Music\It Takes Two.m4a
You Are Everything	Marvin Gaye	Thom Bell/Linda Creed	Motown 50 [Disc 1]		R&B	6384753	174	1	3	23	24	1973	04/09/2012 23:10	16/07/2012 21:22	256	44100		AAC audio file			5	09/05/2013 22:30	4	22/09/2012 18:43		B:\Music\You Are Everything.m4a
I Heard It Through The Grapevine	Marvin Gaye					3199811	199						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	08/05/2013 19:25	4	26/04/2013 12:52		B:\Music\Marvin Gaye - I Heard It Through The Grapevine.mp3
Lets Get It On	Marvin Gaye					3886918	242						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			2	23/07/2012 07:58				B:\Music\Marvin Gaye - Lets Get It On.mp3
Aint no mountain high enough	Marvin Gaye and Tammi Terrell					2371776	149			15			30/04/2009 04:43	16/07/2012 21:23	128	44100		AAC audio file			4	09/05/2013 20:09	2	16/04/2013 11:52		B:\Music\Aint no mountain high enough.m4a
My Guy	Mary Wells	Smokey Robinson	Motown 50 [Disc 1]		R&B	5525264	169	1	3	15	24	1964	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			5	09/05/2013 19:04	2	28/02/2013 16:49		B:\Music\My Guy.m4a
Big Calm	Morcheeba					5769816	359						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	03/05/2013 15:10	3	21/04/2013 19:34		B:\Music\MORCHEEBA & NOSAJ THE GREAT - Big Calm.mp3
Love is rare.	Morcheeba					3938742	245						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			14	09/05/2013 20:06	3	21/04/2013 19:31		B:\Music\Morcheeba-Love is rare..mp3
Rome Wasn't Built In A Day 	Morcheeba					3540441	220						30/11/2012 21:47	16/07/2012 21:22	128	22050		MPEG audio file			18	09/05/2013 14:01				B:\Music\Morcheeba - Rome Wasn't Built In A Day (1).mp3
The Sea	Morcheeba					5623948	350						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			18	09/05/2013 19:33	2	21/04/2013 20:10		B:\Music\Morcheeba-The Sea.mp3
Be Yourself	Morcheeba 					3159247	196						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	14/04/2013 12:48	1	06/03/2013 08:47		B:\Music\Morcheeba - Be Yourself.mp3
Coming Down Gently	Morcheeba 					4144802	258						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	02/05/2013 13:21				B:\Music\Morcheeba - Coming Down Gently.mp3
Get a Move On	Mr Scruff 					3297206	205						30/11/2012 21:47	29/07/2012 23:28	128	44100		MPEG audio file			13	19/04/2013 12:47	3	05/03/2013 15:44		B:\Music\Mr Scruff - Get a Move On.mp3
Spandex Man	Mr Scruff 					4519451	282						30/11/2012 21:47	30/07/2012 22:26	128	44100		MPEG audio file			10	09/05/2013 19:15				B:\Music\Mr Scruff - Spandex Man.mp3
The Cave	Mumford & Sons 					4424830	275						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			7	09/05/2013 19:41	1	16/04/2013 13:24		B:\Music\Mumford & Sons - The Cave.mp3
 Little Lion Man	Mumford & Sons 					3976368	247						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			11	08/05/2013 19:08	1	17/10/2012 15:25		B:\Music\Mumford & Sons - Little Lion Man.mp3
Roll Away Your Stone	Mumford & Sons 					4164453	259						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	15/04/2013 17:36	4	17/04/2013 09:57		B:\Music\Mumford & Sons - Roll Away Your Stone.mp3
Winter Winds	Mumford & Sons 					3552971	221						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	05/03/2013 12:17	1	23/04/2013 13:01		B:\Music\Mumford & Sons - Winter Winds.mp3
Sigh No More	Mumford and Sons					3337305	207						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	09/05/2013 23:30	2	30/08/2012 11:59		B:\Music\Mumford and Sons - Sigh No More.mp3
I Gave You All	Mumford And Sons 					4177406	260						30/11/2012 21:47	16/07/2012 21:22	128	22050		MPEG audio file			9	29/03/2013 15:24	1	15/07/2012 10:52		B:\Music\Mumford And Sons - I Gave You All.mp3
Supermassive Black hole	Muse	Matthew Bellamy	Black Holes and Revelations		Alternative	5032275	209			1		2006	04/09/2012 23:23	16/07/2012 21:23	192	44100		MPEG audio file		 00000F61 00000DA4 000052C9 00004A6F 0002712E 0002712E 00008000 00008000 0000273E 0000273E	3	04/10/2012 14:33	2	12/03/2013 14:04		B:\Music\Muse - Supermassive Black Hole.mp3
Feeling Good	Muse					1598317	199						04/09/2012 23:23	16/07/2012 21:23	64	22050		MPEG audio file			3	26/04/2013 12:11	3	15/04/2013 16:56		B:\Music\Muse - Feeling Good.mp3
Hysteria	Muse					3571137	222						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			4	10/05/2013 00:21	2	19/04/2013 12:43		B:\Music\Muse-Hysteria Official Video.mp3
Starlight	Muse					4040088	252						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			4	07/05/2013 11:55	1	02/03/2013 18:54		B:\Music\MUSE - Starlight (Video).mp3
Time Is Running Out 	Muse					3816491	238						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			5	03/04/2013 10:47				B:\Music\Muse_ Time Is Running Out   Lyrics.mp3
Uprising 	Muse					4065587	253						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			4	26/04/2013 13:31	2	12/03/2013 10:44		B:\Music\Muse - Uprising (Video ufficiale) con sottotitoli.mp3
